name/name,isomeric_smiles,Model,BetaT,GammaT,BetaV,GammaV
R22/Acetone                                               [R22/ACT],C(F)(F)Cl.CC(=O)C,XR0,0.95551139,1.07981,1,1
R22/Methanol                                              [R22/MEO],C(F)(F)Cl.CO,XR0,0.997386846,1.03751,1,1
R22/Hexane                                                [R22/C6],C(F)(F)Cl.CCCCCC,XR0,1.010866818,0.99579,1,1
R22/Ethanol                                               [R22/ETO],C(F)(F)Cl.CCO,XR0,1.006309561,1.05058,1,1
R22/Benzene                                               [R22/BEN],C(F)(F)Cl.C1=CC=CC=C1,XR0,0.989511181,1.03496,1,1
R22/Cyclohexane                                           [R22/CC6],C(F)(F)Cl.C1CCCCC1,XR0,1.009142834,0.97638,1,1
R115/R114                                                 [R115/R114],C(C(F)(F)Cl)(F)(F)F.C(C(F)(F)Cl)(F)(F)Cl,XR0,1,1.0008497,1,1.0021192
R161/R1234yf                                              [R161/R1234YF],CCF.C=C(C(F)(F)F)F,XR0,1.0021948,0.98828,1,1
R161/R134a                                                [R161/R134A],CCF.C(C(F)(F)F)F,XR0,0.998991019,1.00619,1,1
R161/R227ea                                               [R161/R227EA],CCF.C(C(F)(F)F)(C(F)(F)F)F,XR0,1.00966,1.02456,1,1
R218/R134a                                                [R218/R134A],C(C(F)(F)F)(C(F)(F)F)(F)F.C(C(F)(F)F)F,XR0,1,0.9201114,1,1.0132426
R218/Isobutane                                            [R218/C4I],C(C(F)(F)F)(C(F)(F)F)(F)F.CC(C)C,XR0,1,0.8968592,1,1.0018693
R218/RC318                                                [R218/RC318],C(C(F)(F)F)(C(F)(F)F)(F)F.C1(C(C(C1(F)F)(F)F)(F)F)(F)F,XR0,1.00386,1.04248,1,1
Ammonia/R134a                                             [NH3/R134A],N.C(C(F)(F)F)F,XR0,1.055547,0.935232,1,1
Cyclopropane/R134a                                        [CC3/R134A],C1CC1.C(C(F)(F)F)F,XR0,1.01623,0.91325,1,1
R1216/R12                                                 [R1216/R12],C(=C(F)F)(C(F)(F)F)F.C(F)(F)(Cl)Cl,XR0,1.00036013,0.97942,1,1
R1216/Butene                                              [R1216/1BE],C(=C(F)F)(C(F)(F)F)F.CCC=C,XR0,0.982965213,0.92312,1,1
R1216/RC318                                               [R1216/RC318],C(=C(F)F)(C(F)(F)F)F.C1(C(C(C1(F)F)(F)F)(F)F)(F)F,XR0,1.00387,1.00433,1,1
R1216/R123                                                [R1216/R123],C(=C(F)F)(C(F)(F)F)F.C(C(F)(F)F)(Cl)Cl,XR0,1.004939983,0.97467,1,1
R12/R134a                                                 [R12/R134A],C(C(F)(F)F)F.C(C(F)(F)F)F,XR0,1,0.9404374,1,1.0003354
R12/R152a                                                 [R12/R152A],C(F)(F)(Cl)Cl.CC(F)F,XR0,1,0.942583,1,1.002577
R12/R142b                                                 [R12/R142B],C(F)(F)(Cl)Cl.C(F)(F)(Cl)Br,XR0,1,0.9777321,1,1.0002214
R12/RC318                                                 [R12/RC318],C(F)(F)(Cl)Cl.C1(C(C(C1(F)F)(F)F)(F)F)(F)F,XR0,1.00226,0.96907,1,1
R12/R114                                                  [R12/R114],C(F)(F)(Cl)Cl.C(C(F)(F)Cl)(F)(F)Cl,XR0,1,0.9983405,1,1.0085162
R12/R11                                                   [R12/R11],C(F)(F)(Cl)Cl.C(F)(Cl)(Cl)Cl,XR0,1,1.0044593,1,1.0018062
R12/Diethyl ether                                         [R12/DEE],C(F)(F)(Cl)Cl.CCOCC,XR0,1.004328657,1.02787,1,1
R12/R113                                                  [R12/R113],C(F)(F)(Cl)Cl.C(C(F)(Cl)Cl)(F)(F)Cl,XR0,1,1.0301898,1,1.0165841
R12/Cyclohexane                                           [R12/CC6],C(F)(F)(Cl)Cl.C1CCCCC1,XR0,1.038507872,0.989,1,1
R12/Heptane                                               [R12/C7],C(F)(F)(Cl)Cl.CCCCCCC,XR0,1.011920423,1.03388,1,1
R12/Octane                                                [R12/C8],C(F)(F)(Cl)Cl.CCCCCCCC,XR0,1.003482083,1.06084,1,1
R1234yf/R134a                                             [R1234YF/R134A],C=C(C(F)(F)F)F.C(C(F)(F)F)F,XR0,1,0.985,1,1
R1234yf/R152a                                             [R1234YF/R152A],C=C(C(F)(F)F)F.CC(F)F,XR0,0.996300041,0.98112,1,1
R1234yf/R1234ze(E)                                        [R1234YF/R1234ZEE],C=C(C(F)(F)F)F.C(=C/F)\C(F)(F)F,XR0,1,0.987,1,1
R1234yf/R227ea                                            [R1234YF/R227EA],C=C(C(F)(F)F)F.C(C(F)(F)F)(C(F)(F)F)F,XR0,0.999379985,0.99916,1,1
R1234yf/Isobutane                                         [R1234YF/C4I],C=C(C(F)(F)F)F.CC(C)C,XR0,0.992752904,0.93536,1,1
R134a/Dimethyl ether                                      [R134A/DME],C(C(F)(F)F)F.COC,XR0,1,1.0134905,1,1.0025949
R134a/RE143a                                              [R134A/RE143A],C(C(F)(F)F)F.CC(F)(F)F,XR0,0.99957,0.99594,1,1
R134a/R1234ze(E)                                          [R134A/R1234ZEE],C(C(F)(F)F)F.C(=C/F)\C(F)(F)F,XR0,1,0.992,1,1
R134a/R227ea                                              [R134A/R227EA],C(C(F)(F)F)F.C(C(F)(F)F)(C(F)(F)F)F,XR0,1,0.9855694,1,1.0104107
R134a/R124                                                [R134A/R124],C(C(F)(F)F)F.C(C(F)(F)F)(F)Cl,XR0,1,0.9874736,1,1.0031148
R134a/Isobutane                                           [R134A/C4I],C(C(F)(F)F)F.CC(C)C,XR0,1,0.8937027,1,1.0051783
R134a/R142b                                               [R134A/R142B],C(C(F)(F)F)F.C(F)(F)(Cl)Br,XR0,1,0.9869325,1,1.0011016
R134a/R236fa                                              [R134A/R236FA],C(C(F)(F)F)F.C(C(F)(F)F)C(F)(F)F,XR0,0.99958,1.00198,1,1
R134a/Butane                                              [R134A/C4],C(C(F)(F)F)F.CCCC,XR0,1,0.8929711,1,1.0047311
R134a/R245fa                                              [R134A/R245FA],C(C(F)(F)F)F.C(C(F)F)C(F)(F)F,XR0,1,1.0060512,1,1
R134a/R123                                                [R134A/R123],C(C(F)(F)F)F.C(C(F)(F)F)(Cl)Cl,XR0,1,0.9787038,1,1.0087988
R134a/Isopentane                                          [R134A/C5I],C(C(F)(F)F)F.CCC(C)C,XR0,1,0.8993586,1,1.014659
R134a/R141b                                               [R134A/R141B],C(C(F)(F)F)F.CC(F)(Cl)Cl,XR0,1,0.9692334,1,1.004749
R134a/Methanol                                            [R134A/MEO],C(C(F)(F)F)F.CO,XR0,0.992270215,0.98889,1,1
R134a/Ethanol                                             [R134A/ETO],C(C(F)(F)F)F.CCO,XR0,1.029039495,0.98183,1,1
Dimethyl ether/R40                                        [DME/R40],COC.CCl,XR0,0.99969,1.01217,1,1
Dimethyl ether/R227ea                                     [DME/R227EA],COC.C(C(F)(F)F)(C(F)(F)F)F,XR0,1.01575,1.05765,1,1
Dimethyl ether/R236fa                                     [DME/R236FA],COC.C(C(F)(F)F)C(F)(F)F,XR0,0.98997,1.04344,1,1
Dimethyl ether/R236ea                                     [DME/R236EA],COC.C(C(F)F)(C(F)(F)F)F,XR0,0.98075,1.06804,1,1
R152a/R13I1                                               [R152A/CF3I],CC(F)F.C(F)(F)(F)I,XR0,1.001251564,0.96404,1,1
R152a/R227ea                                              [R152A/R227EA],CC(F)F.C(C(F)(F)F)(C(F)(F)F)F,XR0,1,0.9934671,1,1.0180486
R152a/R124                                                [R152A/R124],CC(F)F.C(C(F)(F)F)(F)Cl,XR0,1,0.9906777,1,1.0077824
R152a/Isobutane                                           [R152A/C4I],CC(F)F.CC(C)C,XR0,1,0.9227117,1,1.0108869
R152a/R142b                                               [R152A/R142B],CC(F)F.C(F)(F)(Cl)Br,XR0,1,0.9901133,1,1.0043071
R152a/Isobutene                                           [R152A/IBE],CC(F)F.CC(=C)C,XR0,0.999200639,0.93949,1,1
R152a/Butane                                              [R152A/C4],CC(F)F.CCCC,XR0,0.997575891,0.91179,1,1
R152a/R114                                                [R152A/R114],CC(F)F.C(C(F)(F)Cl)(F)(F)Cl,XR0,1,0.9504005,1,1.0203986
R152a/Pentane                                             [R152A/C5],CC(F)F.CCCCC,XR0,1,0.9210153,1,1.0250359
R152a/R113                                                [R152A/R113],CC(F)F.C(C(F)(Cl)Cl)(F)(F)Cl,XR0,1,0.946075,1,1.0320957
R152a/Methanol                                            [R152A/MEO],CC(F)F.CO,XR0,0.988660069,0.98828,1,1
R152a/Ethanol                                             [R152A/ETO],CC(F)F.CCO,XR0,1.031502073,0.97677,1,1
