BetaT,GammaT,BetaV,GammaV,SMILES_part1,SMILES_part2
0.99931,0.99556,1.0,1.0,CC(F)(F)F,CCF
1.0,0.94844,1.0,1.0007214,CC(F)(F)F,FC(F)(Cl)Cl
0.9997601,0.99523,1.0,1.0,CC(F)(F)F,C=C(F)C(F)(F)F
0.999880014,0.99059,1.0,1.0,CC(F)(F)F,COC
1.0,0.9889541,1.0,1.000572,CC(F)(F)F,CC(F)F
1.0,0.9254452,1.0,1.0064788,CC(F)(F)F,CC(C)C
0.997804829,0.94375,1.0,1.0,CC(F)(F)F,C=C(C)C
0.99911,1.01834,1.0,1.0,CC(F)(F)F,FC(F)(F)CC(F)(F)F
0.999070864,0.91912,1.0,1.0,CC(F)(F)F,CCCC
1.0,0.9412329,1.0,1.0030692,CCC,FC(F)Cl
1.0,0.9432827,1.0,1.0043338,CCC,FC(F)(F)C(F)(F)Cl
0.9599,0.7905,1.0,1.0,CCC,N
1.0024359,0.98041,1.0,1.0,CCC,C1CC1
1.01214,0.92233,1.0,1.0,CCC,FC(F)=C(F)C(F)(F)F
1.0,0.9002394,1.0,1.0000015,CCC,FCC(F)(F)F
1.0,0.9658,1.0,0.9857,CCC,COC
1.01223,0.92009,1.0,1.0,CCC,CC(F)F
1.0055102,0.98807,1.0,1.0,CCC,FC(F)(F)I
1.0,0.8738,1.0,1.0,CCC,O=S=O
1.0,0.9927,1.0,1.0,CCC,C=C(C)C
1.02377,0.9232,1.0,1.0,CCC,FC1(F)C(F)(F)C(F)(F)C1(F)F
1.0256515,0.90987,1.0,1.0,CCC,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
1.02204,0.91493,1.0,1.0,CCC,FC(F)(F)CC(F)(F)F
1.00332,0.98055,1.0,1.0,CCC,FC(F)(Cl)C(F)(F)Cl
1.02233,0.92015,1.0,1.0,CCC,FC(F)C(F)C(F)(F)F
1.0,1.004,1.0,1.0,CCC,CC(C)(C)C
1.02121,0.92286,1.0,1.0,CCC,FC(F)CC(F)(F)F
1.0047,1.01447,1.0,1.0,CCC,FC(F)(Cl)C(F)(Cl)Cl
1.00310964,1.0191,1.0,1.0,CCC,CC(C)=O
0.9988813,1.03496,1.0,1.0,CCC,CCCC(C)C
1.0,1.018,1.0,1.0,CCC,c1ccccc1
